mun_code,mun_name,year,gross_income_pc,wage,pension,unemp_benefit,other_benefits,other_income
02014,"Ballestero, El",2015,9671,4700,2948,226,624,1174
02015,Barrax,2022,12168,7273,1958,494,652,1791
02015,Barrax,2021,11508,6780,1765,506,653,1805
02015,Barrax,2020,10914,6226,1848,720,635,1485
02015,Barrax,2019,10469,6222,1724,444,593,1485
02015,Barrax,2018,9871,5775,1663,383,549,1502
02015,Barrax,2017,9235,5405,1589,320,527,1394
02015,Barrax,2016,8869,4782,1747,392,496,1452
02015,Barrax,2015,8259,4361,1631,400,504,1363
02016,Bienservida,2022,12322,5783,3885,585,704,1365
02016,Bienservida,2021,11755,5348,3648,678,642,1439
02016,Bienservida,2020,10247,4418,3223,926,638,1043
02016,Bienservida,2019,10631,5221,3175,459,634,1142
02016,Bienservida,2018,9930,4824,3001,465,569,1070
02016,Bienservida,2017,9895,4458,2924,461,564,1488
02016,Bienservida,2016,9177,4174,2924,415,513,1151
02016,Bienservida,2015,8869,3999,2904,387,529,1050
02017,Bogarra,2022,11750,4693,4990,320,795,954
02017,Bogarra,2021,10985,4127,4740,384,768,966
02017,Bogarra,2020,10156,3796,4677,396,697,589
02017,Bogarra,2019,9939,3432,4652,279,710,866
02017,Bogarra,2018,8983,2885,4501,274,641,683
02017,Bogarra,2017,8823,2947,4331,252,609,684
02017,Bogarra,2016,8242,2632,4154,290,557,610
02017,Bogarra,2015,7913,2272,4079,353,545,664
02018,Bonete,2022,14175,7520,3665,488,526,1976
02018,Bonete,2021,13012,6867,3364,644,532,1605
02018,Bonete,2020,11560,5997,2983,924,499,1157
02018,Bonete,2019,11187,6313,2877,332,490,1176
02018,Bonete,2018,11037,6168,2832,352,439,1246
02018,Bonete,2017,10179,5654,2708,403,360,1054
02018,Bonete,2016,9521,5233,2674,384,298,933
02018,Bonete,2015,9440,5169,2588,359,257,1067
02019,"Bonillo, El",2022,13301,7650,2689,372,662,1928
02019,"Bonillo, El",2021,12416,7005,2560,421,590,1840
02019,"Bonillo, El",2020,11597,6318,2494,592,540,1653
02019,"Bonillo, El",2019,10906,6155,2417,369,542,1424
02019,"Bonillo, El",2018,10458,5783,2284,349,510,1533
02019,"Bonillo, El",2017,9574,5347,2228,349,443,1208
02019,"Bonillo, El",2016,9130,4905,2196,407,373,1248
02019,"Bonillo, El",2015,8770,4561,2207,438,351,1214
02020,Carcelén,2022,12342,5656,4778,374,593,942
02020,Carcelén,2021,11118,4815,4429,439,511,924
02020,Carcelén,2020,11013,4625,4402,532,546,907
02020,Carcelén,2019,10805,4514,4309,335,569,1077
02020,Carcelén,2018,10781,4452,4405,276,429,1219
02020,Carcelén,2017,9728,4108,3972,242,423,982
02020,Carcelén,2016,9363,4039,3679,286,458,901
02020,Carcelén,2015,9240,3809,3697,351,490,893
02021,Casas de Juan Núñez,2022,12439,7514,2470,402,623,1430
02021,Casas de Juan Núñez,2021,11794,6685,2346,623,619,1521
02021,Casas de Juan Núñez,2020,11447,6400,2369,704,547,1427
02021,Casas de Juan Núñez,2019,11135,6516,2373,370,551,1325
02021,Casas de Juan Núñez,2018,10413,6124,2263,292,540,1194
02021,Casas de Juan Núñez,2017,9825,5627,2192,315,473,1218
02021,Casas de Juan Núñez,2016,9360,5210,2190,336,377,1246
02021,Casas de Juan Núñez,2015,8926,4892,2221,333,448,1032
02022,Casas de Lázaro,2022,16040,7607,5350,457,817,1809
02022,Casas de Lázaro,2021,14465,6511,4702,518,944,1790
02022,Casas de Lázaro,2020,13098,5572,4407,656,979,1485
02022,Casas de Lázaro,2019,12994,5879,4185,435,998,1497
02022,Casas de Lázaro,2018,12670,5569,4138,402,867,1694
02022,Casas de Lázaro,2017,12231,5491,3796,276,866,1802
02022,Casas de Lázaro,2016,11484,4959,3777,260,826,1662
02022,Casas de Lázaro,2015,10873,4408,3554,508,850,1553
02023,Casas de Ves,2022,13705,5864,4907,311,596,2027
02023,Casas de Ves,2021,13132,5227,4776,395,564,2170
02023,Casas de Ves,2020,12299,4776,4691,559,476,1797
02023,Casas de Ves,2019,12113,4882,4385,371,474,2001
02023,Casas de Ves,2018,11903,4845,4164,307,446,2141
02023,Casas de Ves,2017,10156,4421,3965,242,433,1094
02023,Casas de Ves,2016,9714,4062,3762,251,435,1203
02023,Casas de Ves,2015,9477,3679,3853,258,426,1260
02024,Casas-Ibáñez,2022,12769,7346,2756,346,536,1786
02024,Casas-Ibáñez,2021,12204,6903,2536,482,482,1801
02024,Casas-Ibáñez,2020,11281,6286,2429,651,422,1493
02024,Casas-Ibáñez,2019,11304,6351,2398,326,390,1839
02024,Casas-Ibáñez,2018,10739,5950,2316,337,379,1758
02024,Casas-Ibáñez,2017,9981,5662,2273,347,337,1361
02024,Casas-Ibáñez,2016,9630,5291,2200,351,302,1485
02024,Casas-Ibáñez,2015,9402,5114,2183,359,300,1446
02025,Caudete,2022,12397,7775,2689,358,663,911
02025,Caudete,2021,11708,7240,2573,453,605,838
02025,Caudete,2020,11233,6894,2469,612,529,729
02025,Caudete,2019,10981,6994,2359,321,490,818
02025,Caudete,2018,10484,6594,2248,312,458,872
02025,Caudete,2017,9871,6202,2211,312,399,748
02025,Caudete,2016,9443,5821,2139,330,370,783
02025,Caudete,2015,9017,5444,2106,335,386,748
02026,Cenizate,2022,10685,6709,2156,445,499,875
02026,Cenizate,2021,9946,6011,2068,422,450,995
02026,Cenizate,2020,9216,5373,1949,542,493,859
02026,Cenizate,2019,9093,5307,1913,385,466,1022
02026,Cenizate,2018,8105,4732,1932,342,440,659
02026,Cenizate,2017,7369,4302,1888,359,369,452
02026,Cenizate,2016,7073,3851,1802,329,303,789
02026,Cenizate,2015,6986,3597,1941,334,354,759
02027,Corral-Rubio,2022,14522,7111,4168,257,752,2234
02027,Corral-Rubio,2021,13385,6508,3831,453,719,1874
02027,Corral-Rubio,2020,12646,6041,3522,574,785,1724
02027,Corral-Rubio,2019,12505,6575,3300,232,666,1732
02027,Corral-Rubio,2018,12035,6411,3240,289,605,1490
02027,Corral-Rubio,2017,11398,6029,3152,245,592,1380
02027,Corral-Rubio,2016,11439,5955,3094,185,613,1592
02027,Corral-Rubio,2015,10934,5607,3161,296,643,1228
02028,Cotillas,2022,12077,4974,4928,525,820,829
02028,Cotillas,2021,11631,4265,4163,676,704,1822
02028,Cotillas,2020,10707,4374,3697,835,869,932
02028,Cotillas,2019,10908,4534,4041,504,1009,820
02028,Cotillas,2018,9513,4351,2805,610,961,786
02028,Cotillas,2017,9203,3616,2860,457,951,1319
02028,Cotillas,2016,8870,3063,3054,539,922,1292
02028,Cotillas,2015,8611,3077,3065,671,935,863
02029,Chinchilla de Monte-Aragón,2022,14441,10131,2144,385,576,1206
02029,Chinchilla de Monte-Aragón,2021,13967,9640,2026,510,536,1254
02029,Chinchilla de Monte-Aragón,2020,12934,8691,1977,725,457,1084
02029,Chinchilla de Monte-Aragón,2019,12554,8625,2017,366,476,1071
02029,Chinchilla de Monte-Aragón,2018,11808,8056,1871,385,438,1058
02029,Chinchilla de Monte-Aragón,2017,11358,7768,1879,378,351,982
02029,Chinchilla de Monte-Aragón,2016,10846,7302,1784,398,361,1001
02029,Chinchilla de Monte-Aragón,2015,10307,6872,1779,418,342,897
02030,Elche de la Sierra,2022,12517,7012,3069,537,673,1227
02030,Elche de la Sierra,2021,11506,6289,2859,792,586,979
02030,Elche de la Sierra,2020,11081,6042,2779,722,625,913
02030,Elche de la Sierra,2019,10736,5870,2728,493,617,1028
02030,Elche de la Sierra,2018,9925,5279,2632,482,570,962
02030,Elche de la Sierra,2017,9499,5062,2513,451,557,916
02030,Elche de la Sierra,2016,9104,4679,2512,481,507,926
02030,Elche de la Sierra,2015,8868,4414,2480,506,499,968
02031,Férez,2022,12331,5610,4052,463,889,1317
02031,Férez,2021,11611,5186,3697,531,773,1423
02031,Férez,2020,10697,4523,3746,624,655,1148
02031,Férez,2019,10500,4557,3503,566,631,1244
02031,Férez,2018,10312,4248,3531,450,778,1306
02031,Férez,2017,9105,3890,3360,404,563,888
02031,Férez,2016,8772,3372,3253,440,574,1133
02031,Férez,2015,8160,2982,3094,509,522,1053
02032,Fuensanta,2022,13864,7525,3975,331,682,1350
02032,Fuensanta,2021,13317,7050,3972,376,703,1217
02032,Fuensanta,2020,12231,5863,4056,414,737,1160
02032,Fuensanta,2019,11697,5669,4021,291,679,1037
02032,Fuensanta,2018,11377,5290,3798,257,674,1358
02032,Fuensanta,2017,10443,5072,3580,297,487,1008
02032,Fuensanta,2016,9997,4512,3468,278,417,1323
02032,Fuensanta,2015,9461,4382,3335,325,496,923
02033,Fuente-Álamo,2022,11707,6278,2610,380,759,1680
02033,Fuente-Álamo,2021,11066,5714,2430,499,704,1718
02033,Fuente-Álamo,2020,10429,5333,2401,637,637,1421
02033,Fuente-Álamo,2019,9837,5080,2291,342,606,1517
02033,Fuente-Álamo,2018,10060,4692,2188,354,533,2293
02033,Fuente-Álamo,2017,8808,4269,2178,322,449,1590
02033,Fuente-Álamo,2016,8281,4096,2142,302,401,1340
02033,Fuente-Álamo,2015,7698,3717,2134,339,413,1096
02034,Fuentealbilla,2022,12741,7423,2781,374,505,1658
02034,Fuentealbilla,2021,12141,6854,2600,464,511,1712
02034,Fuentealbilla,2020,11119,6283,2442,528,492,1373
02034,Fuentealbilla,2019,11050,6289,2505,314,447,1494
02034,Fuentealbilla,2018,10239,5685,2409,339,446,1359
02034,Fuentealbilla,2017,9402,5250,2321,284,374,1172
02034,Fuentealbilla,2016,8740,4555,2182,311,341,1350
02034,Fuentealbilla,2015,8590,4105,2339,334,365,1447
02035,"Gineta, La",2022,13667,8690,2320,356,589,1712
02035,"Gineta, La",2021,12765,7857,2117,541,559,1692
02035,"Gineta, La",2020,11819,7182,2123,779,479,1256
02035,"Gineta, La",2019,11693,7401,2039,337,421,1495
