mun_code,mun_name,district_code,year,gross_income_pc,wage,pension,unemp_benefit,other_benefits,other_income
02006,Alcadozo,0200601,2017,8911,3719,3118,382,549,1143
02006,Alcadozo,0200601,2016,8949,3628,3403,385,536,997
02006,Alcadozo,0200601,2015,8144,3359,2928,422,582,852
02007,Alcalá del Júcar,0200701,2022,12630,5968,3634,412,648,1968
02007,Alcalá del Júcar,0200701,2021,11854,5500,3441,570,627,1717
02007,Alcalá del Júcar,0200701,2020,11249,5120,3366,643,598,1521
02007,Alcalá del Júcar,0200701,2019,10935,5148,3249,380,627,1532
02007,Alcalá del Júcar,0200701,2018,10311,4586,3294,346,589,1497
02007,Alcalá del Júcar,0200701,2017,9469,4274,3212,322,487,1173
02007,Alcalá del Júcar,0200701,2016,9280,4338,3084,348,424,1086
02007,Alcalá del Júcar,0200701,2015,8950,4126,2991,340,425,1068
02008,Alcaraz,0200801,2022,13726,7698,3352,463,718,1495
02008,Alcaraz,0200801,2021,12229,6479,3139,527,627,1458
02008,Alcaraz,0200801,2020,11412,5892,2994,695,591,1241
02008,Alcaraz,0200801,2019,11120,5984,2886,372,584,1294
02008,Alcaraz,0200801,2018,10660,5759,2761,346,532,1262
02008,Alcaraz,0200801,2017,9964,5317,2688,346,478,1135
02008,Alcaraz,0200801,2016,9351,4971,2645,373,428,933
02008,Alcaraz,0200801,2015,9189,4787,2609,375,433,984
02009,Almansa,0200901,2022,13237,7638,3324,397,558,1319
02009,Almansa,0200901,2021,12399,6820,3066,753,558,1201
02009,Almansa,0200901,2020,11679,6210,2964,1018,449,1038
02009,Almansa,0200901,2019,11826,6787,2889,388,481,1282
02009,Almansa,0200901,2018,11465,6357,3002,334,434,1338
02009,Almansa,0200901,2017,11165,6343,2837,307,355,1324
02009,Almansa,0200901,2016,11454,6070,2715,334,320,2014
02009,Almansa,0200901,2015,10354,5563,2704,414,337,1336
02009,Almansa,0200902,2022,13109,8630,2486,368,611,1013
02009,Almansa,0200902,2021,12232,7638,2320,721,575,978
02009,Almansa,0200902,2020,11640,6922,2308,993,472,944
02009,Almansa,0200902,2019,11790,7619,2213,339,462,1158
02009,Almansa,0200902,2018,11059,7098,2170,330,458,1003
02009,Almansa,0200902,2017,10608,6802,2148,308,377,974
02009,Almansa,0200902,2016,10229,6492,2150,331,339,917
02009,Almansa,0200902,2015,9949,6118,2165,391,338,937
02009,Almansa,0200903,2022,14896,9041,3243,367,616,1628
02009,Almansa,0200903,2021,13979,8377,2950,648,566,1438
02009,Almansa,0200903,2020,13178,7788,2739,915,514,1223
02009,Almansa,0200903,2019,13448,8417,2593,339,492,1607
02009,Almansa,0200903,2018,12558,7952,2428,312,448,1418
02009,Almansa,0200903,2017,11976,7623,2300,300,399,1354
02009,Almansa,0200903,2016,11446,7304,2198,324,354,1266
02009,Almansa,0200903,2015,10929,6964,2079,366,346,1174
02009,Almansa,0200904,2022,13593,8326,2936,363,578,1389
02009,Almansa,0200904,2021,12483,7391,2790,625,523,1154
02009,Almansa,0200904,2020,11931,6751,2684,913,460,1124
02009,Almansa,0200904,2019,11909,7330,2659,326,434,1160
02009,Almansa,0200904,2018,11472,6844,2586,294,414,1334
02009,Almansa,0200904,2017,10774,6439,2547,289,349,1150
02009,Almansa,0200904,2016,10479,6122,2523,305,313,1216
02009,Almansa,0200904,2015,9787,5690,2547,344,293,913
02010,Alpera,0201001,2022,11413,6385,2550,376,572,1531
02010,Alpera,0201001,2021,10951,5851,2418,541,524,1616
02010,Alpera,0201001,2020,10017,5050,2253,742,483,1488
02010,Alpera,0201001,2019,9957,5438,2250,434,408,1428
02010,Alpera,0201001,2018,9748,4967,2293,404,405,1679
02010,Alpera,0201001,2017,8914,4704,2191,385,361,1271
02010,Alpera,0201001,2016,8643,4371,2316,360,340,1255
02010,Alpera,0201001,2015,8492,4107,2138,440,332,1473
02010,Alpera,0201002,2022,11432,5818,3345,330,719,1221
02010,Alpera,0201002,2021,10585,5250,3095,566,660,1014
02010,Alpera,0201002,2020,9681,4513,2922,706,589,951
02010,Alpera,0201002,2019,9547,4718,2931,330,518,1051
02010,Alpera,0201002,2018,9493,4408,2908,305,486,1387
02010,Alpera,0201002,2017,8562,4107,2718,314,554,868
02010,Alpera,0201002,2016,8060,3617,2705,330,505,904
02010,Alpera,0201002,2015,7861,3287,2727,320,529,998
02011,Ayna,0201101,2022,15758,7926,5175,370,739,1548
02011,Ayna,0201101,2021,14287,6823,4950,471,621,1422
02011,Ayna,0201101,2020,13806,6134,4976,587,638,1472
