mun_code,mun_name,district_code,year,mean_age,pct_under18,pct_over65,mean_hh_size,pct_single_hh,population,pct_spanish
02003,Albacete,0200307,2020,38.3,22.6,11.7,2.7,25.6,26278,94.9
02003,Albacete,0200307,2019,38,22.9,11.6,2.7,25.6,26387,94.9
02003,Albacete,0200307,2018,37.6,23.1,11.4,2.8,25.8,26300,95.3
02003,Albacete,0200307,2017,37.3,23.1,11.1,2.8,25.6,25994,95.3
02003,Albacete,0200307,2016,37.1,23.3,10.9,2.8,25.8,25792,95.5
02003,Albacete,0200307,2015,36.8,23.2,10.8,2.8,25.9,25697,95.2
02003,Albacete,0200308,2022,44.3,16.7,19.7,2.6,29.5,6242,95.2
02003,Albacete,0200308,2021,44,17,19.5,2.7,28.6,6108,94.4
02003,Albacete,0200308,2020,44.1,16.8,19.8,2.7,28,5852,93.6
02003,Albacete,0200308,2019,44.1,16.9,20.4,2.7,27.3,5843,93.6
02003,Albacete,0200308,2018,43.8,17.2,20.3,2.7,26.9,5831,95.8
02003,Albacete,0200308,2017,43.6,17.5,20.3,2.7,26.2,5786,96.6
02003,Albacete,0200308,2016,43.4,17.6,20.4,2.8,25,5775,97
02003,Albacete,0200308,2015,43.2,17.5,20.3,2.8,25.3,5822,96.4
02004,Albatana,0200401,2022,50.6,10.9,30.8,2.2,36.8,660,94.7
02004,Albatana,0200401,2021,50.8,10,30.9,2.2,35.9,670,95.1
02004,Albatana,0200401,2020,51.7,9.5,32.4,2.2,39.7,675,96.5
02004,Albatana,0200401,2019,51.2,9.8,32.6,2.2,39.3,665,97.5
02004,Albatana,0200401,2018,50.6,10.6,32.8,2.3,38.3,692,97.7
02004,Albatana,0200401,2017,50.2,11.6,32.3,2.3,37.9,697,96.7
02004,Albatana,0200401,2016,50.9,11,32.6,2.2,38.9,703,97.3
02004,Albatana,0200401,2015,50.3,11.3,32,2.3,38.2,719,96.9
02005,Alborea,0200501,2022,49.1,10.4,26,2.1,41,680,86.2
02005,Alborea,0200501,2021,48.9,11.8,26.7,2.1,40.8,668,88.5
02005,Alborea,0200501,2020,49.4,11.2,27.8,2.2,38.3,676,88.8
02005,Alborea,0200501,2019,49.5,10.3,28.4,2.2,36.7,670,89.3
02005,Alborea,0200501,2018,50,10.5,29,2.1,39.7,658,90.6
02005,Alborea,0200501,2017,49.9,10.5,29,2.1,42.8,666,92.6
02005,Alborea,0200501,2016,49,11.4,28.3,2.2,36.7,699,89.4
02005,Alborea,0200501,2015,48,12.8,28.6,2.2,37.7,717,87.9
02006,Alcadozo,0200601,2022,50.1,11.4,31.3,2.2,39.9,649,98.3
02006,Alcadozo,0200601,2021,49.5,12,31.1,2.2,41.8,634,98.1
02006,Alcadozo,0200601,2020,49.4,13.1,31.8,2.2,42.9,632,98.9
02006,Alcadozo,0200601,2019,49,13.3,31.7,2.3,39.5,647,98.8
02006,Alcadozo,0200601,2018,49.2,13.3,32.1,2.3,36.8,654,98.8
02006,Alcadozo,0200601,2017,49.3,14.1,33.5,2.3,36.4,659,99.2
02006,Alcadozo,0200601,2016,49.3,13.6,32.4,2.3,36.7,663,98.6
02006,Alcadozo,0200601,2015,48.1,14.5,31.2,2.4,33.6,689,98.3
02007,Alcalá del Júcar,0200701,2022,51,10.2,31.2,2,43.7,1131,93.2
02007,Alcalá del Júcar,0200701,2021,51,9.9,30.8,2,45.3,1135,94.9
02007,Alcalá del Júcar,0200701,2020,50.8,9.6,31.1,2,45.6,1143,94.7
02007,Alcalá del Júcar,0200701,2019,50.2,10.4,30.4,2,45.7,1186,93.2
02007,Alcalá del Júcar,0200701,2018,51.1,9.4,31.9,2.1,44.1,1177,94.6
02007,Alcalá del Júcar,0200701,2017,51,9.5,32.2,2.1,41.6,1208,94.1
02007,Alcalá del Júcar,0200701,2016,50.3,10.4,31.2,2.2,40.4,1215,92.9
02007,Alcalá del Júcar,0200701,2015,50.3,10.5,32,2.2,39.1,1220,93.3
02008,Alcaraz,0200801,2022,47.1,14.1,24.2,2.2,41.5,1293,96.8
02008,Alcaraz,0200801,2021,46.5,15.2,23.2,2.3,40.5,1296,97.2
02008,Alcaraz,0200801,2020,46.4,15,23.3,2.3,39,1299,97
02008,Alcaraz,0200801,2019,46.4,15.2,23.6,2.3,40.1,1307,97.2
02008,Alcaraz,0200801,2018,46.1,15,23.2,2.4,39.2,1331,97.1
02008,Alcaraz,0200801,2017,46,15.5,24.2,2.4,36.1,1380,97.2
02008,Alcaraz,0200801,2016,45.8,15.5,24.3,2.4,34.7,1391,96.7
02008,Alcaraz,0200801,2015,45.6,15.1,24.3,2.5,35.8,1437,97
02009,Almansa,0200901,2022,46.6,13.6,23.2,2.4,31.4,2300,88.9
02009,Almansa,0200901,2021,46.6,13.1,22.8,2.4,32.3,2279,91.4
02009,Almansa,0200901,2020,46.2,13.3,22.6,2.4,30.9,2319,90.9
02009,Almansa,0200901,2019,46,13.2,22.6,2.5,30.1,2334,91.4
02009,Almansa,0200901,2018,46,13.2,22.9,2.5,29.3,2319,92.2
02009,Almansa,0200901,2017,45.6,13.7,22.6,2.5,29.7,2337,93.4
02009,Almansa,0200901,2016,45.4,13.6,22.5,2.5,27.2,2336,93.8
02009,Almansa,0200901,2015,44.9,14,22.1,2.5,28.1,2380,93.1
02009,Almansa,0200902,2022,41.9,19.6,17.3,2.5,27.4,4560,95.5
02009,Almansa,0200902,2021,41.6,19.3,17.3,2.5,27,4547,96.1
02009,Almansa,0200902,2020,41.3,19.5,17.1,2.5,27.3,4567,95.8
02009,Almansa,0200902,2019,41.1,19.2,16.7,2.5,27.2,4578,95.8
02009,Almansa,0200902,2018,40.9,19.2,16.5,2.5,27.5,4512,96.3
02009,Almansa,0200902,2017,40.8,19,16.5,2.6,27.3,4492,96
02009,Almansa,0200902,2016,40.6,18.8,16.4,2.6,26.5,4488,95.9
02009,Almansa,0200902,2015,40.6,18.2,16.4,2.5,28.2,4454,96.4
02009,Almansa,0200903,2022,44.7,15.7,20.2,2.5,25.8,12409,94.7
02009,Almansa,0200903,2021,44.1,16,19.1,2.6,25.6,12494,95.5
02009,Almansa,0200903,2020,43.6,16.5,18.4,2.6,25.3,12615,95.4
02009,Almansa,0200903,2019,43.2,17,17.8,2.6,25,12672,95.4
02009,Almansa,0200903,2018,42.8,17.2,17.1,2.6,24.6,12654,95.7
02009,Almansa,0200903,2017,42.3,17.5,16.3,2.6,24.3,12779,95.8
