mun_code,mun_name,year,net_income_pc,net_income_hh,net_income_equiv,median_income_equiv,gross_income_pc,gross_income_hh
02013,Balsa de Ves,2015,9373,17589,12843,10150,10279,19290
02014,"Ballestero, El",2022,11931,25620,16914,15750,13701,29420
02014,"Ballestero, El",2021,11587,25369,16413,15050,13383,29302
02014,"Ballestero, El",2020,11205,24018,15738,15050,12748,27326
02014,"Ballestero, El",2019,11256,23843,15961,15050,12819,27154
02014,"Ballestero, El",2018,10203,21981,14539,12950,11606,25002
02014,"Ballestero, El",2017,9423,20250,13524,11550,10640,22864
02014,"Ballestero, El",2016,8469,18079,12720,10850,9979,21303
02014,"Ballestero, El",2015,8743,18679,12308,10150,9671,20661
02015,Barrax,2022,10517,26857,15770,14350,12168,31073
02015,Barrax,2021,9992,25666,14920,13650,11508,29559
02015,Barrax,2020,9614,24673,14375,12950,10914,28008
02015,Barrax,2019,9220,23738,13798,12250,10469,26953
02015,Barrax,2018,8745,22952,13185,11550,9871,25907
02015,Barrax,2017,8224,21716,12422,10850,9235,24386
02015,Barrax,2016,7902,21262,11961,10150,8869,23863
02015,Barrax,2015,7439,20297,11298,10150,8259,22534
02016,Bienservida,2022,10976,21798,15029,13650,12322,24470
02016,Bienservida,2021,10497,20993,14425,12950,11755,23511
02016,Bienservida,2020,9209,19062,12693,10850,10247,21210
02016,Bienservida,2019,9533,19539,13178,11550,10631,21790
02016,Bienservida,2018,8921,18531,12363,10500,9930,20626
02016,Bienservida,2017,8885,18888,12449,10850,9895,21036
02016,Bienservida,2016,8284,18072,11589,9450,9177,20019
02016,Bienservida,2015,8017,17910,11237,9450,8869,19814
02017,Bogarra,2022,10693,19805,14177,12950,11750,21763
02017,Bogarra,2021,10045,18669,13331,11550,10985,20416
02017,Bogarra,2020,9311,17538,12391,10850,10156,19130
02017,Bogarra,2019,9172,17660,12220,11550,9939,19138
02017,Bogarra,2018,8356,16380,11284,10850,8983,17609
02017,Bogarra,2017,8186,16544,11115,10150,8823,17832
02017,Bogarra,2016,7698,15818,10501,9450,8242,16938
02017,Bogarra,2015,7424,15352,10174,9450,7913,16363
02018,Bonete,2022,12336,29963,17672,15750,14175,34431
02018,Bonete,2021,11453,28000,16524,15050,13012,31810
02018,Bonete,2020,10182,25171,14617,12950,11560,28578
02018,Bonete,2019,9849,24197,14331,12250,11187,27484
02018,Bonete,2018,9719,24675,14322,12250,11037,28022
02018,Bonete,2017,8953,22793,13100,10850,10179,25914
02018,Bonete,2016,8442,22594,12473,10850,9521,25482
02018,Bonete,2015,8389,22493,12375,10850,9440,25310
02019,"Bonillo, El",2022,11662,27506,16970,15050,13301,31373
02019,"Bonillo, El",2021,10814,26168,15922,14350,12416,30046
02019,"Bonillo, El",2020,10197,24869,14981,13650,11597,28282
02019,"Bonillo, El",2019,9709,23686,14175,12950,10906,26606
02019,"Bonillo, El",2018,9287,23009,13638,12250,10458,25910
02019,"Bonillo, El",2017,8569,21546,12619,11550,9574,24072
02019,"Bonillo, El",2016,8208,20748,12077,10150,9130,23079
02019,"Bonillo, El",2015,7917,20279,11687,10150,8770,22461
02020,Carcelén,2022,11046,22463,15327,14350,12342,25098
02020,Carcelén,2021,10038,21132,14015,12600,11118,23407
02020,Carcelén,2020,9953,20761,14039,12950,11013,22971
02020,Carcelén,2019,9735,20599,13755,12250,10805,22862
02020,Carcelén,2018,9690,20622,13733,11900,10781,22944
02020,Carcelén,2017,8792,19107,12487,10150,9728,21140
02020,Carcelén,2016,8431,18837,12002,10150,9363,20919
02020,Carcelén,2015,8408,18212,11875,10150,9240,20013
02021,Casas de Juan Núñez,2022,10927,24545,15436,13650,12439,27940
02021,Casas de Juan Núñez,2021,10377,23737,14673,12950,11794,26978
02021,Casas de Juan Núñez,2020,10041,23107,14437,12950,11447,26343
02021,Casas de Juan Núñez,2019,9822,22142,14083,12950,11135,25102
02021,Casas de Juan Núñez,2018,9207,21024,13227,11550,10413,23778
02021,Casas de Juan Núñez,2017,8690,19572,12479,10850,9825,22129
02021,Casas de Juan Núñez,2016,8257,18896,11870,10850,9360,21420
02021,Casas de Juan Núñez,2015,7998,18389,11471,10150,8926,20524
02022,Casas de Lázaro,2022,14018,26183,18433,17150,16040,29959
02022,Casas de Lázaro,2021,12592,25184,17465,15750,14465,28929
02022,Casas de Lázaro,2020,11629,23839,16209,14350,13098,26852
02022,Casas de Lázaro,2019,11548,24285,15846,14350,12994,27328
02022,Casas de Lázaro,2018,11228,23696,15453,13650,12670,26740
02022,Casas de Lázaro,2017,10865,22856,14982,12950,12231,25729
02022,Casas de Lázaro,2016,10236,21751,14212,12950,11484,24404
02022,Casas de Lázaro,2015,9692,21563,13544,11550,10873,24192
02023,Casas de Ves,2022,12006,24320,16573,15050,13705,27762
02023,Casas de Ves,2021,11620,23534,15804,14350,13132,26597
02023,Casas de Ves,2020,10926,21660,14749,12250,12299,24381
02023,Casas de Ves,2019,10731,21811,14722,12950,12113,24619
02023,Casas de Ves,2018,10519,21151,14376,12250,11903,23933
02023,Casas de Ves,2017,9022,18045,12441,10150,10156,20311
02023,Casas de Ves,2016,8690,18009,11808,9800,9714,20130
02023,Casas de Ves,2015,8540,17822,11760,9450,9477,19776
02024,Casas-Ibáñez,2022,11006,27539,16307,14350,12769,31951
02024,Casas-Ibáñez,2021,10518,26536,15602,13650,12204,30790
02024,Casas-Ibáñez,2020,9829,24889,14561,12950,11281,28568
02024,Casas-Ibáñez,2019,9843,25282,14648,12950,11304,29035
02024,Casas-Ibáñez,2018,9351,24030,14002,12250,10739,27598
02024,Casas-Ibáñez,2017,8701,22415,13052,11550,9981,25710
02024,Casas-Ibáñez,2016,8425,21919,12627,10850,9630,25055
02024,Casas-Ibáñez,2015,8271,21566,12353,10850,9402,24516
02025,Caudete,2022,10690,26973,16034,15050,12397,31279
02025,Caudete,2021,10126,25643,15180,13650,11708,29650
02025,Caudete,2020,9763,24715,14639,12950,11233,28436
02025,Caudete,2019,9553,24469,14323,12950,10981,28126
02025,Caudete,2018,9123,23371,13673,12250,10484,26860
02025,Caudete,2017,8603,22191,12884,11550,9871,25464
02025,Caudete,2016,8285,21528,12463,11550,9443,24536
02025,Caudete,2015,7924,20539,11946,10850,9017,23372
02026,Cenizate,2022,9522,25393,14555,13650,10685,28494
02026,Cenizate,2021,8895,24051,13660,12950,9946,26894
02026,Cenizate,2020,8296,22698,12832,11550,9216,25216
02026,Cenizate,2019,8235,22723,12608,10850,9093,25091
02026,Cenizate,2018,7373,20494,11443,10150,8105,22530
02026,Cenizate,2017,6696,18598,10483,9450,7369,20467
02026,Cenizate,2016,6471,18701,10020,8750,7073,20441
02026,Cenizate,2015,6400,18166,9776,8750,6986,19829
02027,Corral-Rubio,2022,12623,29004,17917,15050,14522,33367
02027,Corral-Rubio,2021,11785,26101,16779,15050,13385,29646
02027,Corral-Rubio,2020,11059,24801,15846,13650,12646,28360
02027,Corral-Rubio,2019,10946,24849,15831,13650,12505,28387
02027,Corral-Rubio,2018,10492,24281,15080,12950,12035,27853
02027,Corral-Rubio,2017,9995,23729,14475,12250,11398,27060
02027,Corral-Rubio,2016,10028,24600,14589,12250,11439,28062
02027,Corral-Rubio,2015,9645,23546,14053,11550,10934,26694
02028,Cotillas,2022,10900,20063,14400,12250,12077,22228
02028,Cotillas,2021,10430,19071,13661,11550,11631,21269
