mun_code,mun_name,district_code,year,gini,p80p20
02008,Alcaraz,0200801,2016,32,2.6
02008,Alcaraz,0200801,2015,30.9,2.5
02009,Almansa,0200901,2022,29.4,2.4
02009,Almansa,0200901,2021,29.1,2.5
02009,Almansa,0200901,2020,28.7,2.4
02009,Almansa,0200901,2019,28.9,2.4
02009,Almansa,0200901,2018,30.8,2.5
02009,Almansa,0200901,2017,32,2.6
02009,Almansa,0200901,2016,31.7,2.5
02009,Almansa,0200901,2015,32,2.4
02009,Almansa,0200902,2022,26,2.2
02009,Almansa,0200902,2021,27.7,2.2
02009,Almansa,0200902,2020,28,2.3
02009,Almansa,0200902,2019,27.4,2.3
02009,Almansa,0200902,2018,28.1,2.2
02009,Almansa,0200902,2017,28.6,2.3
02009,Almansa,0200902,2016,29.3,2.4
02009,Almansa,0200902,2015,30,2.3
02009,Almansa,0200903,2022,28.4,2.2
02009,Almansa,0200903,2021,29.1,2.3
02009,Almansa,0200903,2020,29.7,2.4
02009,Almansa,0200903,2019,29.1,2.3
02009,Almansa,0200903,2018,30.1,2.3
02009,Almansa,0200903,2017,30.8,2.4
02009,Almansa,0200903,2016,31.4,2.5
02009,Almansa,0200903,2015,32,2.6
02009,Almansa,0200904,2022,25.8,2
02009,Almansa,0200904,2021,26.4,2.2
02009,Almansa,0200904,2020,26.4,2.1
02009,Almansa,0200904,2019,26.4,2.1
02009,Almansa,0200904,2018,27.1,2.2
02009,Almansa,0200904,2017,27.7,2.3
02009,Almansa,0200904,2016,28.4,2.2
02009,Almansa,0200904,2015,28.5,2.3
02010,Alpera,0201001,2022,26.9,2.2
02010,Alpera,0201001,2021,27.3,2.3
02010,Alpera,0201001,2020,28,2.3
02010,Alpera,0201001,2019,27.5,2.2
02010,Alpera,0201001,2018,28.4,2.4
02010,Alpera,0201001,2017,29.2,2.5
02010,Alpera,0201001,2016,31,2.6
02010,Alpera,0201001,2015,30.5,2.5
02010,Alpera,0201002,2022,26.2,2.1
02010,Alpera,0201002,2021,26,2
02010,Alpera,0201002,2020,26,2.1
02010,Alpera,0201002,2019,25.4,2
02010,Alpera,0201002,2018,26,2.2
02010,Alpera,0201002,2017,24,2
02010,Alpera,0201002,2016,27.2,2.2
02010,Alpera,0201002,2015,26.6,2.2
02011,Ayna,0201101,2022,28.8,2.4
02011,Ayna,0201101,2021,30.6,2.5
02011,Ayna,0201101,2020,31.6,2.3
02011,Ayna,0201101,2019,30.4,2.5
02011,Ayna,0201101,2018,30.1,2.4
02011,Ayna,0201101,2017,31.4,2.3
02011,Ayna,0201101,2016,31.8,2.4
02011,Ayna,0201101,2015,32.1,2.6
02012,Balazote,0201201,2022,27,2.3
02012,Balazote,0201201,2021,28.5,2.4
02012,Balazote,0201201,2020,28.3,2.4
02012,Balazote,0201201,2019,26.5,2.3
02012,Balazote,0201201,2018,26.7,2.2
02012,Balazote,0201201,2017,28.7,2.4
02012,Balazote,0201201,2016,29.8,2.5
02012,Balazote,0201201,2015,28.4,2.2
02013,Balsa de Ves,0201301,2022,30.5,2.7
02013,Balsa de Ves,0201301,2021,31.7,2.7
02013,Balsa de Ves,0201301,2020,30.1,2.7
02013,Balsa de Ves,0201301,2019,30.7,3.1
02013,Balsa de Ves,0201301,2018,40.3,3.5
02013,Balsa de Ves,0201301,2017,31.6,3
02013,Balsa de Ves,0201301,2016,28.1,2.7
02013,Balsa de Ves,0201301,2015,31.5,2.7
02014,"Ballestero, El",0201401,2022,26.3,2.3
02014,"Ballestero, El",0201401,2021,26.4,2.3
02014,"Ballestero, El",0201401,2020,27.4,2.5
02014,"Ballestero, El",0201401,2019,25.8,2.1
02014,"Ballestero, El",0201401,2018,26.5,2.2
02014,"Ballestero, El",0201401,2017,27.2,2.3
02014,"Ballestero, El",0201401,2016,28.4,2.4
02014,"Ballestero, El",0201401,2015,30.4,2.1
02015,Barrax,0201501,2022,28.3,2.4
02015,Barrax,0201501,2021,28.5,2.3
02015,Barrax,0201501,2020,28.3,2.5
02015,Barrax,0201501,2019,27.2,2.1
02015,Barrax,0201501,2018,27,2.2
02015,Barrax,0201501,2017,27.2,2.2
02015,Barrax,0201501,2016,28.7,2.1
02015,Barrax,0201501,2015,28.1,2.3
02016,Bienservida,0201601,2022,27.9,2.1
02016,Bienservida,0201601,2021,27.3,2.1
02016,Bienservida,0201601,2020,29.1,2.3
02016,Bienservida,0201601,2019,29,2.1
02016,Bienservida,0201601,2018,31,2.1
02016,Bienservida,0201601,2017,31,2.2
02016,Bienservida,0201601,2016,32.2,2.5
02016,Bienservida,0201601,2015,33.3,2.5
02017,Bogarra,0201701,2022,27.6,2.1
02017,Bogarra,0201701,2021,26.9,2.1
02017,Bogarra,0201701,2020,27.1,2
02017,Bogarra,0201701,2019,28.2,2.2
02017,Bogarra,0201701,2018,28,2.3
02017,Bogarra,0201701,2017,26.5,2
02017,Bogarra,0201701,2016,28,2.4
02017,Bogarra,0201701,2015,28.5,2.3
02018,Bonete,0201801,2022,29.3,2.6
02018,Bonete,0201801,2021,28.2,2.4
02018,Bonete,0201801,2020,30.2,2.6
02018,Bonete,0201801,2019,29.4,2.5
02018,Bonete,0201801,2018,30,2.8
02018,Bonete,0201801,2017,31.4,2.5
02018,Bonete,0201801,2016,31.3,2.7
02018,Bonete,0201801,2015,31.2,2.6
02019,"Bonillo, El",0201901,2022,25.2,2.2
02019,"Bonillo, El",0201901,2021,25.1,2.2
02019,"Bonillo, El",0201901,2020,25.3,2
02019,"Bonillo, El",0201901,2019,24.5,2.1
02019,"Bonillo, El",0201901,2018,25,2
02019,"Bonillo, El",0201901,2017,25.7,2
02019,"Bonillo, El",0201901,2016,25.7,2.1
02019,"Bonillo, El",0201901,2015,26.1,2.1
02020,Carcelén,0202001,2022,27.7,2.3
02020,Carcelén,0202001,2021,27,2.1
02020,Carcelén,0202001,2020,28.5,2.2
02020,Carcelén,0202001,2019,29,2.1
02020,Carcelén,0202001,2018,29.3,2.2
02020,Carcelén,0202001,2017,30.3,2.4
02020,Carcelén,0202001,2016,28.1,2.2
02020,Carcelén,0202001,2015,26.5,2.2
02021,Casas de Juan Núñez,0202101,2022,27.3,2.4
02021,Casas de Juan Núñez,0202101,2021,29.3,2.6
02021,Casas de Juan Núñez,0202101,2020,28.6,2.4
02021,Casas de Juan Núñez,0202101,2019,27.6,2.4
02021,Casas de Juan Núñez,0202101,2018,28,2.1
02021,Casas de Juan Núñez,0202101,2017,29.7,2.2
02021,Casas de Juan Núñez,0202101,2016,30.8,2.4
02021,Casas de Juan Núñez,0202101,2015,30.2,2.3
02022,Casas de Lázaro,0202201,2022,26.8,2.5
02022,Casas de Lázaro,0202201,2021,28,2.4
02022,Casas de Lázaro,0202201,2020,27.6,2.3
02022,Casas de Lázaro,0202201,2019,27.1,2.3
02022,Casas de Lázaro,0202201,2018,30.1,2.7
02022,Casas de Lázaro,0202201,2017,29.6,2.5
02022,Casas de Lázaro,0202201,2016,28.5,2.7
02022,Casas de Lázaro,0202201,2015,29.4,2.6
02023,Casas de Ves,0202301,2022,30,2.5
02023,Casas de Ves,0202301,2021,29.7,2.5
02023,Casas de Ves,0202301,2020,30.4,2.5
02023,Casas de Ves,0202301,2019,28.7,2.7
02023,Casas de Ves,0202301,2018,29.8,2.5
02023,Casas de Ves,0202301,2017,31.4,2.3
02023,Casas de Ves,0202301,2016,34.5,2.8
02023,Casas de Ves,0202301,2015,34.1,2.8
02024,Casas-Ibáñez,0202401,2022,29.3,2.3
02024,Casas-Ibáñez,0202401,2021,28.6,2.4
02024,Casas-Ibáñez,0202401,2020,29.6,2.5
02024,Casas-Ibáñez,0202401,2019,28.3,2.3
02024,Casas-Ibáñez,0202401,2018,30,2.4
02024,Casas-Ibáñez,0202401,2017,30.5,2.5
02024,Casas-Ibáñez,0202401,2016,30.6,2.4
02024,Casas-Ibáñez,0202401,2015,31,2.6
