mun_code,mun_name,district_code,year,net_income_pc,net_income_hh,net_income_equiv,median_income_equiv,gross_income_pc,gross_income_hh
02005,Alborea,0200501,2016,7573,17050,10756,9450,8316,18725
02005,Alborea,0200501,2015,7235,16136,10428,9450,7941,17710
02006,Alcadozo,0200601,2022,10709,23819,15114,13650,12052,26806
02006,Alcadozo,0200601,2021,10086,22410,14235,13650,11251,24997
02006,Alcadozo,0200601,2020,9203,20305,13111,12250,10277,22673
02006,Alcadozo,0200601,2019,9297,21449,13467,12250,10321,23811
02006,Alcadozo,0200601,2018,8944,20711,12932,11550,9893,22909
02006,Alcadozo,0200601,2017,8123,18886,11827,10850,8911,20719
02006,Alcadozo,0200601,2016,8100,18833,11751,10150,8949,20809
02006,Alcadozo,0200601,2015,7446,17604,11035,10150,8144,19255
02007,Alcalá del Júcar,0200701,2022,11219,22360,15548,13650,12630,25172
02007,Alcalá del Júcar,0200701,2021,10480,20648,14381,12950,11854,23356
02007,Alcalá del Júcar,0200701,2020,10047,19990,13803,12250,11249,22380
02007,Alcalá del Júcar,0200701,2019,9712,20032,13443,12250,10935,22553
02007,Alcalá del Júcar,0200701,2018,9256,19323,13065,10850,10311,21525
02007,Alcalá del Júcar,0200701,2017,8506,18009,12011,10150,9469,20048
02007,Alcalá del Júcar,0200701,2016,8352,18191,11866,9450,9280,20213
02007,Alcalá del Júcar,0200701,2015,8110,17675,11454,9450,8950,19505
02008,Alcaraz,0200801,2022,11954,27166,17143,14350,13726,31192
02008,Alcaraz,0200801,2021,10630,24758,15448,12950,12229,28484
02008,Alcaraz,0200801,2020,9963,23514,14519,12950,11412,26933
02008,Alcaraz,0200801,2019,9717,23124,14181,12250,11120,26463
02008,Alcaraz,0200801,2018,9358,22479,13809,11550,10660,25608
02008,Alcaraz,0200801,2017,8495,21132,12919,11550,9964,24785
02008,Alcaraz,0200801,2016,8320,20978,12281,10850,9351,23577
02008,Alcaraz,0200801,2015,8097,20648,12099,10850,9189,23432
02009,Almansa,0200901,2022,11400,27006,16681,15050,13237,31360
02009,Almansa,0200901,2021,10698,25558,15822,14350,12399,29622
02009,Almansa,0200901,2020,10206,25075,15070,13650,11679,28692
02009,Almansa,0200901,2019,10291,25214,15155,14350,11826,28977
02009,Almansa,0200901,2018,9921,24659,14762,13650,11465,28495
02009,Almansa,0200901,2017,9632,23925,14296,12950,11165,27731
02009,Almansa,0200901,2016,9900,24847,14734,12250,11454,28747
02009,Almansa,0200901,2015,9020,22851,13261,11550,10354,26232
02009,Almansa,0200902,2022,11286,28521,16997,15750,13109,33128
02009,Almansa,0200902,2021,10574,27002,15930,14350,12232,31235
02009,Almansa,0200902,2020,10122,25867,15318,13650,11640,29747
